subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.486,1,error,-9.647389561,5.425004324
1,0.376,1,error,-7.470612091,4.037870822
1,0.514,1,correct,-8.362088743,-3.158554137
1,0.408,0,correct,-7.690645297,-7.284465503
1,0.352,1,error,11.06986077,-2.234020839
1,0.526,1,error,-7.151996603,-2.316495238
1,0.362,1,correct,9.945093235,5.067317591
1,0.472,1,correct,8.359853491,8.770810876
1,0.48,0,correct,5.272004401,-0.524327268
1,0.47,1,correct,-2.41425216,-1.218754329
1,0.406,1,correct,7.941219003,5.949548358
1,0.478,1,correct,-1.972089091,-1.630455901
1,0.458,1,correct,4.404119344,1.258419587
1,0.5,0,correct,12.35174887,3.566148758
1,0.63,1,error,-8.530834103,5.764393405
1,0.514,1,correct,7.718227858,0.707152563
1,0.392,1,correct,-6.6097476,-2.359505464
1,0.498,1,correct,-3.457799572,-0.880150832
1,0.496,1,correct,7.487410358,5.005226035
1,0.484,1,correct,10.76149199,5.643449509
1,0.496,1,correct,11.86724237,5.957248556
1,0.472,1,correct,12.02931225,5.899514297
1,0.352,0,correct,11.15141141,-0.299543237
1,0.344,0,error,-16.20964735,13.44431673
1,0.654,1,error,22.74583004,-22.90873835
1,0.332,1,correct,5.784383009,-1.302971287
1,0.516,1,correct,-2.674542017,-4.865654145
1,0.37,1,correct,11.4672395,6.337147442
1,0.378,0,correct,-3.696410964,14.45380916
1,0.486,0,error,24.21084796,-27.18350498
1,0.614,1,correct,8.280175885,3.316693968
1,0.4,1,correct,1.01185612,-0.61128661
1,0.424,1,correct,-2.195237198,0.440160652
1,0.328,1,correct,-4.145444862,-7.091123344
1,0.472,0,correct,6.924073228,3.447863966
1,0.548,1,error,-3.247449683,4.38398856
1,0.374,1,correct,-6.25111599,-6.964830952
1,0.418,0,correct,7.784195514,4.942097761
1,0.472,0,error,-11.72781804,14.43831222
1,0.406,1,correct,5.484849007,2.320421363
1,0.732,1,correct,-0.816611848,-0.583053795
1,0.626,1,correct,16.67824034,14.62646172
1,0.554,1,correct,-1.714946257,0.910018903
1,0.436,1,correct,5.281932472,5.392264379
1,0.384,1,correct,8.745434448,0.6620034
1,0.612,1,correct,-3.977640085,-3.881512625
1,0.462,1,correct,-12.04148467,-10.45600038
1,0.522,1,correct,-4.979867749,-1.67421056
1,0.56,1,correct,7.790323785,2.116511262
1,0.44,1,correct,-3.69925126,-1.744171262
1,0.566,1,error,-22.95264279,13.44396525
1,0.53,1,error,-2.789243455,9.403729157
1,0.586,1,correct,-2.923126179,0.317976779
1,0.652,1,correct,-2.570668435,-4.961578684
1,0.478,0,correct,-4.844035713,-1.530635168
1,0.648,1,error,-13.64805435,7.994056434
1,0.612,1,correct,14.66222537,8.357140069
1,0.48,1,correct,-4.560107003,-1.121560848
1,0.552,1,correct,9.372512858,2.359903089
1,0.442,1,correct,-3.985702911,-2.751792841
1,0.396,0,correct,-4.525025671,-4.19811073
1,0.538,1,error,-10.69919961,10.9913588
1,0.458,1,correct,9.114975283,4.73128737
1,0.716,1,correct,-1.921866635,-2.412042993
1,0.462,1,correct,-2.549377202,-1.938265155
1,0.422,1,correct,10.09874331,5.08682781
1,0.382,1,correct,-4.130889177,-0.162347557
1,0.404,0,correct,-3.736835294,5.440294855
1,0.598,1,error,-11.68242062,9.11038195
1,0.312,1,correct,12.97917882,7.220969857
1,0.468,1,correct,5.800120197,4.034596154
1,0.61,1,correct,15.5272547,9.363132548
1,0.474,0,correct,-3.649639265,0.156077507
1,0.536,1,error,10.70599846,-4.817211417
1,0.574,1,error,-14.74921222,9.981037118
1,0.362,1,correct,10.3058829,5.561926564
1,0.446,1,correct,0.928071018,-2.812910353
1,0.536,1,correct,19.64404053,19.94952887
1,0.44,0,correct,-1.82547792,0.280941601
1,0.418,0,error,14.09288548,0.223263859
1,0.428,1,error,-15.75343302,9.439616685
1,0.61,1,correct,-3.008956289,-0.415848541
1,0.656,1,correct,5.721551144,2.049282608
1,0.664,1,correct,-8.727947016,-7.217744778
1,0.568,0,correct,-7.367250416,-6.676575963
1,0.56,1,error,13.92414547,-5.949131452
1,0.502,1,correct,5.79417088,0.648185515
1,0.452,1,correct,4.295691059,-1.829828535
1,0.526,1,correct,-4.189613311,-3.965415997
1,0.514,1,correct,5.343976161,2.930027041
1,0.628,1,correct,-5.978575528,-8.18863239
1,0.54,1,correct,-2.34215505,-5.532781658
1,0.444,1,correct,-9.86741433,-11.04595392
1,0.716,1,correct,-12.16443699,-7.155585271
1,0.48,1,correct,8.249531082,1.356273611
1,0.54,1,correct,-1.574034842,-1.217909152
1,0.55,1,correct,-7.072359437,-6.686253437
1,0.62,1,correct,1.410629188,1.635219514
1,0.582,1,correct,7.778641657,2.21775362
1,0.576,1,correct,-8.52834101,-10.58743884
1,0.4,1,correct,25.21865613,12.03291309
1,0.5,1,correct,-1.617693203,-2.51369477
1,0.42,1,correct,9.083643487,-3.343027548
1,0.382,1,correct,8.333583275,5.440387639
1,0.41,0,correct,2.343087763,-0.854077179
1,0.477,1,error,-10.29419018,11.39670925
1,0.434,1,error,-11.8663963,13.68098797
1,0.448,1,correct,15.20948774,-6.630875623
1,0.33,1,correct,9.11194553,3.305052759
1,0.436,1,correct,-9.040497523,-2.324712833
1,0.502,1,correct,-7.733571813,-5.272005496
1,0.52,1,correct,-9.442458756,-8.107392512
1,0.358,1,correct,-6.117865538,-5.761680238
1,0.464,0,correct,12.50777927,11.13941337
1,0.554,1,error,17.88223741,-3.515383368
1,0.558,1,correct,-4.23725853,-0.765611041
1,0.572,1,correct,-6.260353158,-5.770142214
1,0.398,0,correct,-7.765114206,-5.978951852
1,0.56,1,correct,-8.346565834,-8.211805064
1,0.524,1,correct,-1.252826432,-1.993288413
1,0.49,0,correct,13.58254536,2.539082864
1,0.586,1,error,16.17434458,-8.465273415
1,0.462,1,correct,16.05514092,10.78348844
1,0.448,1,correct,12.43194377,14.482152
1,0.428,1,correct,12.26333518,6.068745668
1,0.522,0,correct,9.965186684,1.289978267
1,0.436,1,error,-5.648957053,-0.096136493
1,0.574,1,error,1.138328705,-7.13598588
1,0.502,1,correct,-1.826608446,1.527292711
1,0.402,1,correct,6.062312958,3.873783276
1,0.352,0,correct,-6.699310496,-2.760074174
1,0.524,0,error,14.43753419,-22.10182192
1,0.506,1,correct,4.257183972,1.727696918
1,0.58,1,correct,-0.561635058,-1.534152815
1,0.452,1,correct,-5.968810829,-0.225083246
1,0.426,0,correct,-2.544469719,-2.701084854
1,0.66,1,error,10.17275963,1.873662057
1,0.378,1,correct,-2.581203561,3.214755354
1,0.424,0,correct,-8.172126836,-6.074508992
1,0.618,1,error,-13.57899264,11.28262263
1,0.406,1,correct,-6.363231718,-4.669769378
1,0.498,1,correct,0.60604821,0.411629302
