subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.332,1,correct,3.516284788,1.648458355
1,0.42,1,correct,5.286491379,-12.12913336
1,0.224,1,correct,0.436498039,-0.305365111
1,0.314,0,correct,-1.066456031,-11.91186526
1,0.328,0,error,-7.145852502,5.615159028
1,0.346,0,correct,3.157472785,-10.75602773
1,0.35,1,error,-10.52999271,3.105884006
1,0.264,0,correct,4.560652965,-4.564147536
1,0.32,0,error,16.85616985,-13.8684362
1,0.286,1,correct,-4.015662155,-10.00575933
1,0.266,1,correct,5.438426229,4.207254824
1,0.228,1,correct,1.997093143,-8.520056452
1,0.32,0,correct,-1.203149075,-9.858926541
1,0.3,1,error,-23.06444412,0.991587742
1,0.278,0,error,11.90404217,-13.22924613
1,0.452,0,error,10.92512044,-11.70048099
1,0.32,1,correct,1.521985328,3.690431825
1,0.368,1,correct,2.416266495,15.11548003
1,0.34,0,correct,-3.914685548,8.78000091
1,0.444,1,error,-7.352683054,-1.081046487
1,0.412,1,correct,-4.028556106,4.591610061
1,0.336,0,correct,-0.184107231,-3.376303805
1,0.292,0,error,18.5787674,-3.893545598
1,0.374,1,correct,0.576641359,15.81911869
1,0.296,0,correct,2.238880339,-0.812094887
1,0.364,1,error,12.579635,-5.245822667
1,0.412,1,correct,1.586650229,-4.949966597
1,0.408,0,correct,2.809811264,-5.645960275
1,0.512,1,error,-19.15207242,-0.192833903
1,0.398,1,error,-9.327790584,0.824275118
1,0.408,1,correct,-1.138256992,5.692389313
1,0.388,0,correct,7.617429718,-9.065181893
1,0.334,0,error,-26.01694622,5.554841757
1,0.346,1,correct,-0.777404061,3.401667169
1,0.39,1,correct,5.275343202,5.47996536
1,0.46,0,correct,-1.371796144,-1.843084479
1,0.462,1,error,-21.02775102,17.31410353
1,0.516,0,correct,-0.416531244,5.975474757
1,0.512,1,correct,1.982057661,7.639151025
1,0.402,1,correct,0.303398088,-7.497988128
1,0.412,1,correct,1.567040919,11.96111262
1,0.274,1,correct,-2.649816181,0.573090361
1,0.274,1,correct,5.085353842,4.555001171
1,0.42,1,correct,3.499378446,-6.47670779
1,0.404,1,correct,3.009470387,-6.587537834
1,0.364,1,correct,0.286507214,-12.68037736
1,0.318,1,correct,0.862749907,5.016034544
1,0.284,0,correct,1.837709128,10.67810202
1,0.388,1,error,-12.27763712,4.28115645
1,0.396,1,correct,-2.427095292,8.871410854
1,0.44,1,correct,3.557988794,8.465922918
1,0.382,0,correct,1.802822387,5.327309907
1,0.522,1,error,-22.11088501,2.346044522
1,0.374,1,correct,12.00412229,-7.107624438
1,0.35,0,correct,4.704883464,9.450607437
1,0.362,1,correct,3.183722341,9.085719798
1,0.32,1,correct,3.111799483,-8.501873487
1,0.348,0,correct,2.819287466,9.701064121
1,0.42,1,error,-14.84234222,1.580521729
1,0.388,1,correct,8.016520539,-7.860557185
1,0.424,0,correct,3.224519565,-6.726302075
1,0.462,1,error,-1.002954883,-14.64648062
1,0.486,1,correct,-6.64263053,-9.948076779
1,0.462,1,correct,1.166847683,5.362204373
1,0.4,1,correct,0.360291674,2.622622225
1,0.428,0,correct,-0.816831287,2.861188065
1,0.396,1,error,12.12649772,-13.41617548
1,0.356,0,correct,2.787070154,5.235001697
1,0.458,0,error,-14.32262847,3.613003247
1,0.478,1,correct,4.247849686,-9.212633649
1,0.438,1,correct,-2.130977719,-11.92691448
1,0.406,1,correct,-4.254982651,-1.799169476
1,0.312,1,correct,-0.726310216,9.120571993
1,0.322,1,correct,9.692304757,7.098557468
1,0.292,1,correct,2.055538818,6.099747618
1,0.354,1,correct,-0.447407141,6.515318668
1,0.304,1,correct,0.71436231,11.43756283
1,0.4,1,correct,3.314436942,-10.90361328
1,0.504,1,correct,1.443373897,-0.162940832
1,0.344,0,correct,-1.977908774,-9.576159258
1,0.416,0,error,-16.09399522,5.96368476
1,0.482,1,error,9.876112003,-7.0253521
1,0.48,1,error,-22.8374333,-3.618508561
1,0.456,1,correct,1.349415458,2.426903575
1,0.426,1,correct,-8.561116258,1.579753176
1,0.242,0,correct,-5.317033627,-5.989133684
1,0.416,1,error,-8.582292689,4.291239869
1,0.466,1,correct,-0.103289684,-5.356031509
1,0.484,1,correct,-4.870276177,-11.83041201
1,0.432,1,correct,2.760643901,0.790484465
1,0.354,0,correct,-1.064851847,1.953342997
1,0.339,1,error,-10.65831221,-0.186079788
1,0.38,0,correct,2.288800193,-4.978575638
1,0.526,1,error,-16.35301071,4.002581848
1,0.416,1,correct,4.623157306,1.887642098
1,0.514,1,correct,0.260680419,4.402601602
1,0.442,1,correct,-1.208833126,-14.51086317
1,0.42,1,correct,4.171629323,-6.751427695
1,0.428,0,correct,2.210354356,2.72223446
1,0.316,0,error,9.320619676,-6.762918763
1,0.418,1,correct,2.521469961,1.48467373
1,0.372,1,correct,8.27919986,10.12177383
1,0.454,1,correct,-1.368710572,0.553373076
1,0.566,1,correct,0.878487915,9.039842296
1,0.408,1,correct,3.390988021,2.127753131
1,0.432,1,correct,6.377667584,7.641021046
1,0.508,0,correct,-0.045098764,0.220502115
1,0.572,1,error,14.43087786,-16.5993745
1,0.462,1,correct,1.730558301,6.415818995
1,0.472,1,correct,-0.29276707,4.200769532
1,0.482,1,correct,-3.086453232,-5.480459606
1,0.334,1,correct,-0.837894303,-2.593066488
1,0.408,1,correct,3.469521303,7.654585562
1,0.458,0,correct,0.792798785,2.482492967
1,0.438,1,error,-26.31613933,9.67379566
1,0.498,1,correct,3.23660715,0.61517971
1,0.388,1,correct,4.456070372,-5.596414373
1,0.434,1,correct,0.516882625,-9.500664702
1,0.456,1,correct,-2.082817056,-0.732358951
1,0.412,1,correct,-3.115909468,1.225097336
1,0.38,1,correct,2.351924733,3.405210985
1,0.398,1,correct,-6.520009102,-8.641683508
1,0.456,1,correct,-0.366776873,-0.511801576
1,0.466,1,error,9.671081431,-11.23086678
1,0.428,1,correct,-2.093369251,7.017048436
1,0.352,1,correct,2.787209411,-6.588194702
1,0.326,1,correct,0.799453972,-6.969315201
1,0.392,1,correct,1.902453748,3.345780637
1,0.364,1,correct,2.129169616,-0.781602712
1,0.462,1,correct,2.498451446,9.86680645
1,0.314,0,correct,1.055503801,-4.746795286
1,0.28,0,error,9.426277163,-2.782885313
1,0.354,1,correct,3.601335104,-2.799715782
1,0.42,1,correct,3.593168005,9.517626138
1,0.304,1,correct,-1.726739426,2.462317557
1,0.44,1,correct,3.495041341,2.992430172
1,0.282,0,correct,3.334930311,-6.761572039
1,0.434,1,error,15.17921591,-2.740772936
1,0.396,1,correct,-0.247738765,2.729131713
1,0.366,1,correct,0.97052576,0.789744464
1,0.466,1,correct,3.411886939,5.176181074
1,0.38,1,correct,2.070859458,3.453651986
1,0.394,1,correct,-1.227332656,6.469192354
1,0.48,1,correct,8.311017237,22.66917372
1,0.412,0,correct,9.393388294,14.18851309
1,0.402,1,error,-10.28005295,2.497654777
1,0.646,0,error,-2.903789791,2.573346153
1,0.366,1,correct,-0.470408402,2.251268857
1,0.368,1,correct,10.05517457,-9.077935551
1,0.476,0,correct,4.840098963,0.667912692
1,0.46,1,error,-10.99194417,3.528496237
1,0.416,1,correct,2.203121754,4.626528736
1,0.42,0,correct,-0.482420988,-1.8421842
1,0.34,0,correct,2.430589179,10.25884445
1,0.344,1,error,-1.481249441,6.407655704
1,0.38,1,correct,6.775890598,-5.656972578
1,0.404,1,correct,-2.876303566,5.26387468
1,0.386,1,correct,2.03102508,4.731450835
1,0.412,0,correct,3.329307133,2.592185332
1,0.398,1,error,-9.568897223,6.040276281
1,0.42,1,error,-13.496023,11.73764054
1,0.456,1,error,8.964770895,-15.85523312
