subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.26,0,correct,11.8044087,-12.45590226
1,0.454,1,error,8.926700301,7.533588805
1,0.746,1,correct,7.56910984,-4.754229358
1,0.47,1,correct,-16.35325108,2.955481736
1,0.456,0,correct,-2.223574293,3.389712879
1,0.496,1,error,-10.92972774,2.935273219
1,0.462,0,correct,7.404182246,-4.788786587
1,0.6,1,error,5.989467069,-2.096184977
1,0.434,1,correct,14.5737021,-4.115814866
1,0.33,0,correct,-4.469906144,12.23279644
1,0.456,1,error,8.002519606,-8.20304782
1,0.43,1,correct,-20.85141191,13.45709102
1,0.396,1,correct,-8.057887754,9.197934813
1,0.51,1,correct,3.167609024,-5.46579076
1,0.438,1,correct,11.85301244,-5.27472304
1,0.37,1,correct,-15.35259628,5.938084371
1,0.392,1,correct,14.07483879,-5.612083275
1,0.376,0,correct,9.797215723,-7.512058293
1,0.482,1,error,-19.81878832,9.208391443
1,0.336,0,correct,11.89280667,-9.676940487
1,0.412,1,error,-35.96529034,13.56259633
1,0.374,0,correct,10.27558223,-17.44890872
1,0.296,0,error,-11.52528059,5.885302765
1,0.414,1,correct,10.56937006,5.051296799
1,0.484,1,correct,5.977644051,-18.77496478
1,0.246,0,correct,9.93460112,-1.998439546
1,0.48,1,error,-1.12839355,4.113812325
1,0.434,1,correct,-4.880157176,6.225103589
1,0.558,1,error,3.931901347,-0.343403763
1,0.658,1,correct,13.60226468,7.612331842
1,0.266,1,correct,-5.274091068,3.7077791
1,0.233,1,correct,-8.463628612,3.403322967
1,0.384,1,correct,-17.78030984,9.626624907
1,0.394,1,correct,14.76366599,-10.11161931
1,0.34,0,correct,-2.652235903,0.368915867
1,0.268,0,error,-63.64809641,13.25319765
1,0.294,1,error,-14.6845007,3.145982565
1,0.534,1,error,-11.81056068,4.014053504
1,0.316,1,correct,-9.308339554,7.169859533
1,0.41,1,correct,6.259836863,-8.349245156
1,0.498,0,error,-8.016949558,1.867439614
1,0.354,1,correct,-2.718440911,2.304441386
1,0.268,1,correct,6.612910256,-4.330653361
1,0.258,1,correct,9.942631154,-9.117346195
1,0.267,1,correct,-5.528911707,8.983926663
1,0.59,1,correct,11.76121309,-18.10040281
1,0.288,1,error,3.749983554,-0.899513333
1,0.326,1,error,7.245430017,-2.79381924
1,0.272,1,correct,-11.87570241,2.143836364
1,0.282,0,correct,-6.448528497,11.02434081
1,0.256,1,error,4.442820878,-7.835867399
1,0.296,1,error,13.52744106,-6.197513759
1,0.394,1,correct,-6.605637241,4.474428727
1,0.304,0,error,-7.817905635,3.135987834
1,0.514,1,error,15.63494459,-11.68628884
1,0.43,0,error,-15.64611333,5.087117903
1,0.244,0,correct,-8.090887387,1.518257408
1,0.272,0,error,-7.91628013,1.295223059
1,0.234,0,error,8.130855462,-2.833439774
1,0.252,0,error,-2.658423859,2.797405851
1,0.354,1,error,-8.285898919,4.11910441
1,0.204,1,error,2.709524461,-12.4391219
1,0.456,0,error,-1.028419477,0.302181075
1,0.246,1,error,8.576606527,-11.02496176
1,0.28,1,error,8.11604502,8.919389269
1,0.298,1,error,5.513846794,-5.923821623
1,0.244,0,error,22.69334873,-6.816146485
1,0.236,0,error,-7.291272657,-4.982859466
1,0.266,1,error,14.42045238,-5.018394709
1,0.246,0,correct,-3.309633888,2.052875662
1,0.356,1,error,10.59406452,-2.120645879
1,0.406,1,error,-10.23752899,-0.216185011
1,0.394,0,error,-3.95538685,6.03489079
1,0.198,0,error,4.64570994,-6.141068164
1,0.172,1,error,-6.509288591,0.940051132
1,0.208,1,correct,-2.528801956,-5.064053966
1,0.21,0,correct,-1.979086697,2.720954655
1,0.28,0,error,-1.527361774,3.679720556
1,0.272,0,error,13.06522465,-2.887986339
1,0.274,1,error,-1.027877172,0.568797758
1,0.298,1,error,-2.757623668,4.651272892
1,0.222,1,error,20.64471685,-4.906520261
1,0.272,1,correct,-2.572045388,1.015655153
1,0.202,0,correct,-23.41371163,7.579566011
1,0.172,0,error,13.12125886,-4.75439128
1,0.462,0,correct,-2.837839157,10.43942345
1,0.208,1,correct,-2.655971662,7.9880877
1,0.16,0,correct,19.91724274,-1.085012553
1,0.208,1,error,12.94587331,11.06060286
1,0.188,1,error,-1.084845397,6.68654584
1,0.2,1,correct,-1.282259835,0.694778169
1,0.236,0,correct,14.41553296,-3.796218193
1,0.214,0,error,-9.492520592,4.883253972
1,0.21,1,correct,8.431472767,-14.23295499
1,0.19,1,correct,2.16007695,3.096333479
1,0.302,0,correct,0.675419177,3.180640154
1,0.358,0,error,8.214097346,-7.04773479
10,0.564,1,correct,10.30303057,-3.115422743
10,0.564,1,correct,3.83230158,3.76671944
10,0.576,1,correct,-1.353177431,-2.961137216
10,0.608,1,correct,10.53740456,-7.521387038
10,0.48,1,correct,-4.721747275,7.077403355
10,0.584,1,correct,10.32746397,-4.162059128
10,0.584,1,correct,17.23818359,-0.465303543
10,0.532,1,correct,16.45968784,-13.06423794
10,0.68,1,correct,7.394489125,-7.454966474
10,0.436,1,correct,1.002591155,-3.410374716
10,0.494,1,correct,-6.570837828,6.512497759
10,0.622,1,correct,1.652222719,-2.491975927
10,0.698,1,correct,8.314480325,-5.821687088
10,0.538,1,correct,-1.601882469,-0.674240177
10,0.57,0,correct,15.87113281,-7.610419721
10,0.556,1,correct,12.86472568,-11.2013204
10,0.464,1,correct,15.5860091,-5.356368429
10,0.558,1,correct,10.83412089,-6.991450448
